Stkcd	Trddt	Clsprc
000735	2022-01-26	6.780
000736	2022-01-25	7.560
000736	2022-01-26	7.230
000737	2022-01-25	7.790
000737	2022-01-26	7.850
000738	2022-01-25	23.870
000738	2022-01-26	24.060
000739	2022-01-25	29.500
000739	2022-01-26	28.940
000750	2022-01-25	3.940
000750	2022-01-26	4.000
000751	2022-01-25	3.550
000751	2022-01-26	3.620
000752	2022-01-25	4.980
000752	2022-01-26	4.780
000753	2022-01-25	3.170
000753	2022-01-26	3.230
000755	2022-01-25	4.120
000755	2022-01-26	4.170
000756	2022-01-25	9.340
000756	2022-01-26	9.340
000757	2022-01-25	4.070
000757	2022-01-26	4.140
000758	2022-01-25	4.920
000758	2022-01-26	4.990
000759	2022-01-25	4.660
000759	2022-01-26	4.690
000761	2022-01-25	4.180
000761	2022-01-26	4.280
000762	2022-01-25	43.780
000762	2022-01-26	42.880
000766	2022-01-25	4.350
000766	2022-01-26	4.360
000767	2022-01-25	3.670
000767	2022-01-26	3.730
000768	2022-01-25	27.450
000768	2022-01-26	27.240
000776	2022-01-25	21.550
000776	2022-01-26	22.170
000777	2022-01-25	12.750
000777	2022-01-26	12.940
000778	2022-01-25	4.880
000778	2022-01-26	5.010
000779	2022-01-25	9.060
000779	2022-01-26	9.450
000782	2022-01-25	5.120
000782	2022-01-26	5.230
000783	2022-01-25	7.070
000783	2022-01-26	7.170
000785	2022-01-25	4.840
000785	2022-01-26	4.920
000786	2022-01-25	33.040
000786	2022-01-26	33.600
000788	2022-01-25	6.230
000788	2022-01-26	6.220
000789	2022-01-25	11.940
000789	2022-01-26	12.360
000790	2022-01-25	4.930
000790	2022-01-26	4.980
000791	2022-01-25	5.870
000791	2022-01-26	6.020
000792	2022-01-25	29.470
000792	2022-01-26	29.950
000793	2022-01-25	2.610
000793	2022-01-26	2.870
000795	2022-01-25	6.740
000795	2022-01-26	6.850
000796	2022-01-25	8.770
000796	2022-01-26	8.350
000797	2022-01-25	2.570
000797	2022-01-26	2.660
000798	2022-01-25	7.310
000798	2022-01-26	6.610
000799	2022-01-25	173.230
000799	2022-01-26	177.200
000800	2022-01-25	9.490
000800	2022-01-26	9.540
000801	2022-01-25	8.050
000801	2022-01-26	8.040
000802	2022-01-25	4.070
000802	2022-01-26	4.090
000803	2022-01-25	20.650
000803	2022-01-26	20.780
000806	2022-01-25	2.630
000806	2022-01-26	2.640
000807	2022-01-25	11.520
000807	2022-01-26	11.980
000810	2022-01-25	12.040
000810	2022-01-26	11.640
000811	2022-01-25	12.780
000811	2022-01-26	12.980
000812	2022-01-25	7.500
000812	2022-01-26	7.640
000813	2022-01-25	3.620
000813	2022-01-26	3.630
000815	2022-01-25	7.060
000815	2022-01-26	7.380
000816	2022-01-25	3.420
000816	2022-01-26	3.450
000818	2022-01-25	34.070
000818	2022-01-26	33.550
000819	2022-01-25	12.670
000819	2022-01-26	12.780
000820	2022-01-25	3.410
000820	2022-01-26	3.560
000821	2022-01-25	11.270
000821	2022-01-26	10.910
000822	2022-01-25	6.590
000822	2022-01-26	6.570
000823	2022-01-25	11.880
000823	2022-01-26	12.030
000825	2022-01-25	7.010
000825	2022-01-26	7.070
000826	2022-01-25	4.000
000826	2022-01-26	4.030
000828	2022-01-25	9.660
000828	2022-01-26	9.720
000829	2022-01-25	14.270
000829	2022-01-26	14.080
000830	2022-01-25	14.760
000830	2022-01-26	14.940
000831	2022-01-25	32.300
000831	2022-01-26	32.520
000833	2022-01-25	5.620
000833	2022-01-26	5.610
000835	2022-01-25	2.100
000835	2022-01-26	2.000
000836	2022-01-25	2.830
000836	2022-01-26	2.860
000837	2022-01-25	9.080
000837	2022-01-26	9.040
000838	2022-01-25	8.150
000838	2022-01-26	7.340
000839	2022-01-25	2.390
000839	2022-01-26	2.420
000848	2022-01-25	9.380
000848	2022-01-26	9.380
000850	2022-01-25	4.450
000850	2022-01-26	4.620
000851	2022-01-25	5.830
000851	2022-01-26	5.990
000852	2022-01-25	5.850
000852	2022-01-26	5.910
000856	2022-01-25	7.690
000856	2022-01-26	8.460
000858	2022-01-25	208.360
000858	2022-01-26	206.050
000859	2022-01-25	6.280
000859	2022-01-26	6.430
000860	2022-01-25	29.880
000860	2022-01-26	27.660
000861	2022-01-25	2.600
000861	2022-01-26	2.750
000862	2022-01-25	7.990
000862	2022-01-26	7.690
000863	2022-01-25	4.040
000863	2022-01-26	3.880
000868	2022-01-25	3.660
000868	2022-01-26	3.720
000869	2022-01-25	30.710
000869	2022-01-26	30.850
000875	2022-01-25	8.100
000875	2022-01-26	8.120
000876	2022-01-25	15.650
000876	2022-01-26	15.910
000877	2022-01-25	14.280
000877	2022-01-26	14.480
000878	2022-01-25	12.440
000878	2022-01-26	12.450
000880	2022-01-25	7.800
000880	2022-01-26	7.920
000881	2022-01-25	8.930
000881	2022-01-26	9.000
000882	2022-01-25	1.850
000882	2022-01-26	1.880
000883	2022-01-25	4.500
000883	2022-01-26	4.520
000885	2022-01-25	10.100
000885	2022-01-26	10.350
000886	2022-01-25	3.740
000886	2022-01-26	3.780
000887	2022-01-25	22.850
000887	2022-01-26	22.510
000888	2022-01-25	7.170
000888	2022-01-26	6.990
000889	2022-01-25	3.520
000889	2022-01-26	3.510
000890	2022-01-25	4.360
000890	2022-01-26	4.450
000892	2022-01-25	3.650
000892	2022-01-26	3.630
000893	2022-01-25	23.570
000895	2022-01-25	30.640
000895	2022-01-26	30.880
000897	2022-01-25	2.610
000897	2022-01-26	2.660
000898	2022-01-25	3.780
000898	2022-01-26	3.800
000899	2022-01-25	5.040
